MODEL,POINT,IID,STID,STSIZ,ROSIZ,NBO,DPY
Demo - Model 02,42,10126,S_SUPPLY_SHIP_01,,,3.73E-04,3.44E-02
Demo - Model 02,42,10126,S_SUPPLY_SHIP_02,,,3.73E-04,3.44E-02
Demo - Model 02,42,10127,WORKSHOP,,,5.64E-03,1.149073251
Demo - Model 02,42,10127,HOME BASE,1,,7.73E-05,1.149073251
Demo - Model 02,42,10127,MAIN DEPOT,,,1.19E-02,1.149073251
Demo - Model 02,42,10127,S_CARRIER,,,7.73E-06,0.114907325
Demo - Model 02,42,10127,S_CRUISER,,,7.73E-06,0.114907325
Demo - Model 02,42,10127,S_DESTROYER_01,,,7.73E-06,0.114907325
Demo - Model 02,42,10127,S_DESTROYER_02,,,7.73E-06,0.114907325
Demo - Model 02,42,10127,S_FRIGATE_01,,,7.73E-06,0.114907325
Demo - Model 02,42,10127,S_FRIGATE_02,,,7.73E-06,0.114907325
Demo - Model 02,42,10127,S_SUPPLY_SHIP_01,,,1.55E-05,0.22981465
Demo - Model 02,42,10127,S_SUPPLY_SHIP_02,,,1.55E-05,0.22981465
Demo - Model 02,42,10128,WORKSHOP,,,4.23E-04,8.61E-02
Demo - Model 02,42,10128,HOME BASE,,,9.34E-04,8.61E-02
Demo - Model 02,42,10128,MAIN DEPOT,,,8.95E-04,8.61E-02
Demo - Model 02,42,10128,S_CARRIER,,,9.34E-05,8.61E-03
Demo - Model 02,42,10128,S_CRUISER,,,9.34E-05,8.61E-03
Demo - Model 02,42,10128,S_DESTROYER_01,,,9.34E-05,8.61E-03
Demo - Model 02,42,10128,S_DESTROYER_02,,,9.34E-05,8.61E-03
Demo - Model 02,42,10128,S_FRIGATE_01,,,9.34E-05,8.61E-03
Demo - Model 02,42,10128,S_FRIGATE_02,,,9.34E-05,8.61E-03
Demo - Model 02,42,10128,S_SUPPLY_SHIP_01,,,1.87E-04,1.72E-02
Demo - Model 02,42,10128,S_SUPPLY_SHIP_02,,,1.87E-04,1.72E-02
Demo - Model 02,42,10129,WORKSHOP,,,2.32E-03,0.471871387
Demo - Model 02,42,10129,HOME BASE,,,5.12E-03,0.471871387
Demo - Model 02,42,10129,MAIN DEPOT,,,4.90E-03,0.471871387
Demo - Model 02,42,10129,S_CARRIER,,,5.12E-04,4.72E-02
Demo - Model 02,42,10129,S_CRUISER,,,5.12E-04,4.72E-02
Demo - Model 02,42,10129,S_DESTROYER_01,,,5.12E-04,4.72E-02
Demo - Model 02,42,10129,S_DESTROYER_02,,,5.12E-04,4.72E-02
Demo - Model 02,42,10129,S_FRIGATE_01,,,5.12E-04,4.72E-02
Demo - Model 02,42,10129,S_FRIGATE_02,,,5.12E-04,4.72E-02
Demo - Model 02,42,10129,S_SUPPLY_SHIP_01,,,1.02E-03,9.44E-02
Demo - Model 02,42,10129,S_SUPPLY_SHIP_02,,,1.02E-03,9.44E-02
Demo - Model 02,42,101210,WORKSHOP,,1,2.75E-04,2.409
Demo - Model 02,42,101210,HOME BASE,,,1.46E-02,2.409
Demo - Model 02,42,101210,MAIN DEPOT,,,1.35E-02,2.409
Demo - Model 02,42,101210,S_CARRIER,,,1.81E-03,0.2993
Demo - Model 02,42,101210,S_CRUISER,,,1.81E-03,0.2993
Demo - Model 02,42,101210,S_DESTROYER_01,,,1.81E-03,0.2993
Demo - Model 02,42,101210,S_DESTROYER_02,,,1.81E-03,0.2993
Demo - Model 02,42,101210,S_FRIGATE_01,,,1.81E-03,0.2993
Demo - Model 02,42,101210,S_FRIGATE_02,,,1.81E-03,0.2993
Demo - Model 02,42,101210,S_SUPPLY_SHIP_01,,,1.85E-03,0.3066
Demo - Model 02,42,101210,S_SUPPLY_SHIP_02,,,1.85E-03,0.3066
Demo - Model 02,42,1021,HOME BASE,1,,9.89E-07,0.912755758
Demo - Model 02,42,1021,MAIN DEPOT,,,0.00101591,0.684566818
Demo - Model 02,42,1021,S_CARRIER,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_CRUISER,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_DESTROYER_01,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_DESTROYER_02,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_FRIGATE_01,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_FRIGATE_02,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_SUPPLY_SHIP_01,,,1.24E-07,0.11409447
Demo - Model 02,42,1021,S_SUPPLY_SHIP_02,,,1.24E-07,0.11409447
Demo - Model 02,42,1022,HOME BASE,1,,3.38E-09,5.33E-02
Demo - Model 02,42,1022,MAIN DEPOT,,,5.93E-05,4.00E-02
Demo - Model 02,42,1022,S_CARRIER,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_CRUISER,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_DESTROYER_01,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_DESTROYER_02,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_FRIGATE_01,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_FRIGATE_02,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_SUPPLY_SHIP_01,,,4.22E-10,6.66E-03
Demo - Model 02,42,1022,S_SUPPLY_SHIP_02,,,4.22E-10,6.66E-03
Demo - Model 02,42,1023,HOME BASE,1,,3.09E-06,1.614670354
Demo - Model 02,42,1023,MAIN DEPOT,,,0.00179715,1.211002765
Demo - Model 02,42,1023,S_CARRIER,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_CRUISER,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_DESTROYER_01,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_DESTROYER_02,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_FRIGATE_01,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_FRIGATE_02,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_SUPPLY_SHIP_01,,,3.87E-07,0.201833794
Demo - Model 02,42,1023,S_SUPPLY_SHIP_02,,,3.87E-07,0.201833794
Demo - Model 02,42,1024,HOME BASE,1,,2.49E-08,0.144752604
Demo - Model 02,42,1024,MAIN DEPOT,,,0.000161112,0.108564453
Demo - Model 02,42,1024,S_CARRIER,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_CRUISER,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_DESTROYER_01,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_DESTROYER_02,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_FRIGATE_01,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_FRIGATE_02,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_SUPPLY_SHIP_01,,,3.11E-09,0.018094076
Demo - Model 02,42,1024,S_SUPPLY_SHIP_02,,,3.11E-09,0.018094076
Demo - Model 02,42,1025,HOME BASE,1,,1.05E-07,0.29767664
Demo - Model 02,42,1025,MAIN DEPOT,,,3.31E-04,0.22325748
Demo - Model 02,42,1025,S_CARRIER,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_CRUISER,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_DESTROYER_01,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_DESTROYER_02,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_FRIGATE_01,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_FRIGATE_02,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_SUPPLY_SHIP_01,,,1.32E-08,3.72E-02
Demo - Model 02,42,1025,S_SUPPLY_SHIP_02,,,1.32E-08,3.72E-02
Demo - Model 02,42,1026,WORKSHOP,,1,1.77E-05,0.154903736
Demo - Model 02,42,1026,HOME BASE,1,,4.39E-07,0.154903736
Demo - Model 02,42,1026,MAIN DEPOT,,,8.66E-04,0.154903736
Demo - Model 02,42,1026,S_CARRIER,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_CRUISER,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_DESTROYER_01,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_DESTROYER_02,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_FRIGATE_01,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_FRIGATE_02,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_SUPPLY_SHIP_01,,,5.49E-08,0.019362967
Demo - Model 02,42,1026,S_SUPPLY_SHIP_02,,,5.49E-08,0.019362967
Demo - Model 02,42,1027,WORKSHOP,,1,3.33E-06,2.92E-02
Demo - Model 02,42,1027,HOME BASE,1,,1.56E-08,2.92E-02
Demo - Model 02,42,1027,MAIN DEPOT,,,1.63E-04,2.92E-02
Demo - Model 02,42,1027,S_CARRIER,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_CRUISER,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_DESTROYER_01,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_DESTROYER_02,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_FRIGATE_01,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_FRIGATE_02,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_SUPPLY_SHIP_01,,,1.95E-09,3.65E-03
Demo - Model 02,42,1027,S_SUPPLY_SHIP_02,,,1.95E-09,3.65E-03
Demo - Model 02,42,1031,HOME BASE,1,,4.82E-06,2.015085621
Demo - Model 02,42,1031,MAIN DEPOT,,,0.002242818,1.511314216
Demo - Model 02,42,1031,S_CARRIER,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_CRUISER,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_DESTROYER_01,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_DESTROYER_02,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_FRIGATE_01,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_FRIGATE_02,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_SUPPLY_SHIP_01,,,6.02E-07,0.251885703
Demo - Model 02,42,1031,S_SUPPLY_SHIP_02,,,6.02E-07,0.251885703
Demo - Model 02,42,1032,HOME BASE,,,9.07E-05,5.89E-02
Demo - Model 02,42,1032,MAIN DEPOT,,,6.55E-05,4.41E-02
Demo - Model 02,42,1032,S_CARRIER,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_CRUISER,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_DESTROYER_01,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_DESTROYER_02,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_FRIGATE_01,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_FRIGATE_02,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_SUPPLY_SHIP_01,,,1.13E-05,7.36E-03
Demo - Model 02,42,1032,S_SUPPLY_SHIP_02,,,1.13E-05,7.36E-03
Demo - Model 02,42,1033,HOME BASE,,,6.87E-04,0.445587304
Demo - Model 02,42,1033,MAIN DEPOT,,,4.96E-04,0.334190478
Demo - Model 02,42,1033,S_CARRIER,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_CRUISER,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_DESTROYER_01,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_DESTROYER_02,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_FRIGATE_01,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_FRIGATE_02,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_SUPPLY_SHIP_01,,,8.58E-05,5.57E-02
Demo - Model 02,42,1033,S_SUPPLY_SHIP_02,,,8.58E-05,5.57E-02
Demo - Model 02,42,1034,HOME BASE,,,0.000246244,0.159784745
Demo - Model 02,42,1034,MAIN DEPOT,,,1.78E-04,0.119838558
Demo - Model 02,42,1034,S_CARRIER,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_CRUISER,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_DESTROYER_01,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_DESTROYER_02,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_FRIGATE_01,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_FRIGATE_02,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_SUPPLY_SHIP_01,,,3.08E-05,0.019973093
Demo - Model 02,42,1034,S_SUPPLY_SHIP_02,,,3.08E-05,0.019973093
Demo - Model 02,42,1041,HOME BASE,2,,4.38E-05,42.01995542
Demo - Model 02,42,1041,MAIN DEPOT,,,4.68E-02,31.51496657
Demo - Model 02,42,1041,S_CARRIER,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_CRUISER,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_DESTROYER_01,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_DESTROYER_02,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_FRIGATE_01,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_FRIGATE_02,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_SUPPLY_SHIP_01,,,5.48E-06,5.252494428
Demo - Model 02,42,1041,S_SUPPLY_SHIP_02,,,5.48E-06,5.252494428
Demo - Model 02,42,1042,HOME BASE,1,,3.18E-06,1.636423055
Demo - Model 02,42,1042,MAIN DEPOT,,,0.001821361,1.227317291
Demo - Model 02,42,1042,S_CARRIER,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_CRUISER,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_DESTROYER_01,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_DESTROYER_02,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_FRIGATE_01,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_FRIGATE_02,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_SUPPLY_SHIP_01,,,3.97E-07,0.204552882
Demo - Model 02,42,1042,S_SUPPLY_SHIP_02,,,3.97E-07,0.204552882
Demo - Model 02,42,1043,WORKSHOP,,1,0.00012,1.0512
Demo - Model 02,42,1043,HOME BASE,1,,2.02E-05,1.0512
Demo - Model 02,42,1043,MAIN DEPOT,,,5.88E-03,1.0512
Demo - Model 02,42,1043,S_CARRIER,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_CRUISER,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_DESTROYER_01,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_DESTROYER_02,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_FRIGATE_01,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_FRIGATE_02,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_SUPPLY_SHIP_01,,,2.52E-06,0.1314
Demo - Model 02,42,1043,S_SUPPLY_SHIP_02,,,2.52E-06,0.1314
Demo - Model 02,42,20111,HOME BASE,,,9.89E-04,0.641473648
Demo - Model 02,42,20111,MAIN DEPOT,,,7.14E-04,0.481105236
Demo - Model 02,42,20111,S_CARRIER,1,,3.34E-07,7.364147365
Demo - Model 02,42,20111,S_CRUISER,1,,3.34E-07,7.364147365
Demo - Model 02,42,20111,S_DESTROYER_01,1,,1.34E-06,14.72829473
Demo - Model 02,42,20111,S_DESTROYER_02,1,,1.34E-06,14.72829473
Demo - Model 02,42,20111,S_FRIGATE_01,,,9.89E-05,6.41E-02
Demo - Model 02,42,20111,S_FRIGATE_02,,,9.89E-05,6.41E-02
Demo - Model 02,42,20111,S_SUPPLY_SHIP_01,1,,3.34E-07,7.364147365
Demo - Model 02,42,20111,S_SUPPLY_SHIP_02,1,,3.34E-07,7.364147365
Demo - Model 02,42,20112,HOME BASE,,,0.000115497,7.49E-02
Demo - Model 02,42,20112,MAIN DEPOT,,,8.34E-05,5.62E-02
Demo - Model 02,42,20112,S_CARRIER,,,1.15497E-05,7.49E-03
Demo - Model 02,42,20112,S_CRUISER,,,1.15497E-05,7.49E-03
Demo - Model 02,42,20112,S_DESTROYER_01,,,2.30993E-05,0.014988911
Demo - Model 02,42,20112,S_DESTROYER_02,,,2.30993E-05,0.014988911
Demo - Model 02,42,20112,S_FRIGATE_01,,,1.15497E-05,7.49E-03
Demo - Model 02,42,20112,S_FRIGATE_02,,,1.15497E-05,7.49E-03
Demo - Model 02,42,20112,S_SUPPLY_SHIP_01,,,1.15497E-05,7.49E-03
Demo - Model 02,42,20112,S_SUPPLY_SHIP_02,,,1.15497E-05,7.49E-03
Demo - Model 02,42,20113,HOME BASE,,,8.74E-04,0.567385352
Demo - Model 02,42,20113,MAIN DEPOT,,,6.32E-04,0.425539014
Demo - Model 02,42,20113,S_CARRIER,1,,4.41E-07,7.356738535
Demo - Model 02,42,20113,S_CRUISER,1,,4.41E-07,7.356738535
Demo - Model 02,42,20113,S_DESTROYER_01,1,,1.76E-06,14.71347707
Demo - Model 02,42,20113,S_DESTROYER_02,1,,1.76E-06,14.71347707
Demo - Model 02,42,20113,S_FRIGATE_01,,,8.74E-05,5.67E-02
Demo - Model 02,42,20113,S_FRIGATE_02,,,8.74E-05,5.67E-02
Demo - Model 02,42,20113,S_SUPPLY_SHIP_01,1,,4.41E-07,7.356738535
Demo - Model 02,42,20113,S_SUPPLY_SHIP_02,1,,4.41E-07,7.356738535
Demo - Model 02,42,20114,HOME BASE,,,3.14E-04,0.203460741
Demo - Model 02,42,20114,MAIN DEPOT,,,0.000226455,0.152595556
Demo - Model 02,42,20114,S_CARRIER,,,3.14E-05,0.020346074
Demo - Model 02,42,20114,S_CRUISER,,,3.14E-05,0.020346074
Demo - Model 02,42,20114,S_DESTROYER_01,,,6.27E-05,4.07E-02
Demo - Model 02,42,20114,S_DESTROYER_02,,,6.27E-05,4.07E-02
Demo - Model 02,42,20114,S_FRIGATE_01,,,3.14E-05,0.020346074
Demo - Model 02,42,20114,S_FRIGATE_02,,,3.14E-05,0.020346074
Demo - Model 02,42,20114,S_SUPPLY_SHIP_01,,,3.14E-05,0.020346074
Demo - Model 02,42,20114,S_SUPPLY_SHIP_02,,,3.14E-05,0.020346074
Demo - Model 02,42,20115,HOME BASE,1,,2.08E-07,0.418407045
Demo - Model 02,42,20115,MAIN DEPOT,,,4.66E-04,0.313805284
Demo - Model 02,42,20115,S_CARRIER,,,2.08E-08,4.18E-02
Demo - Model 02,42,20115,S_CRUISER,,,2.08E-08,4.18E-02
Demo - Model 02,42,20115,S_DESTROYER_01,,,4.16E-08,8.37E-02
Demo - Model 02,42,20115,S_DESTROYER_02,,,4.16E-08,8.37E-02
Demo - Model 02,42,20115,S_FRIGATE_01,,,2.08E-08,4.18E-02
Demo - Model 02,42,20115,S_FRIGATE_02,,,2.08E-08,4.18E-02
Demo - Model 02,42,20115,S_SUPPLY_SHIP_01,,,2.08E-08,4.18E-02
Demo - Model 02,42,20115,S_SUPPLY_SHIP_02,,,2.08E-08,4.18E-02
Demo - Model 02,42,20116,WORKSHOP,,1,8.28E-06,7.26E-02
Demo - Model 02,42,20116,HOME BASE,,,4.39E-04,7.26E-02
Demo - Model 02,42,20116,MAIN DEPOT,,,4.06E-04,7.26E-02
Demo - Model 02,42,20116,S_CARRIER,,,4.39E-05,7.26E-03
Demo - Model 02,42,20116,S_CRUISER,,,4.39E-05,7.26E-03
Demo - Model 02,42,20116,S_DESTROYER_01,,,8.78E-05,0.014515262
Demo - Model 02,42,20116,S_DESTROYER_02,,,8.78E-05,0.014515262
Demo - Model 02,42,20116,S_FRIGATE_01,,,4.39E-05,7.26E-03
Demo - Model 02,42,20116,S_FRIGATE_02,,,4.39E-05,7.26E-03
Demo - Model 02,42,20116,S_SUPPLY_SHIP_01,,,4.39E-05,7.26E-03
Demo - Model 02,42,20116,S_SUPPLY_SHIP_02,,,4.39E-05,7.26E-03
Demo - Model 02,42,20117,WORKSHOP,,1,5.53E-05,0.484320953
Demo - Model 02,42,20117,HOME BASE,1,,4.29E-06,0.484320953
Demo - Model 02,42,20117,MAIN DEPOT,,,2.71E-03,0.484320953
Demo - Model 02,42,20117,S_CARRIER,,,4.29E-07,4.84E-02
Demo - Model 02,42,20117,S_CRUISER,,,4.29E-07,4.84E-02
Demo - Model 02,42,20117,S_DESTROYER_01,,,8.58E-07,9.69E-02
Demo - Model 02,42,20117,S_DESTROYER_02,,,8.58E-07,9.69E-02
Demo - Model 02,42,20117,S_FRIGATE_01,,,4.29E-07,4.84E-02
Demo - Model 02,42,20117,S_FRIGATE_02,,,4.29E-07,4.84E-02
Demo - Model 02,42,20117,S_SUPPLY_SHIP_01,,,4.29E-07,4.84E-02
Demo - Model 02,42,20117,S_SUPPLY_SHIP_02,,,4.29E-07,4.84E-02
Demo - Model 02,42,20118,WORKSHOP,,1,4.14E-06,3.63E-02
Demo - Model 02,42,20118,HOME BASE,,,0.000219586,3.63E-02
Demo - Model 02,42,20118,MAIN DEPOT,,,0.000203014,3.63E-02
Demo - Model 02,42,20118,S_CARRIER,,,2.19586E-05,3.63E-03
Demo - Model 02,42,20118,S_CRUISER,,,2.19586E-05,3.63E-03
Demo - Model 02,42,20118,S_DESTROYER_01,,,4.39E-05,7.26E-03
Demo - Model 02,42,20118,S_DESTROYER_02,,,4.39E-05,7.26E-03
Demo - Model 02,42,20118,S_FRIGATE_01,,,2.19586E-05,3.63E-03
Demo - Model 02,42,20118,S_FRIGATE_02,,,2.19586E-05,3.63E-03
Demo - Model 02,42,20118,S_SUPPLY_SHIP_01,,,2.19586E-05,3.63E-03
Demo - Model 02,42,20118,S_SUPPLY_SHIP_02,,,2.19586E-05,3.63E-03
Demo - Model 02,42,20119,WORKSHOP,,1,2.27E-05,0.198888278
Demo - Model 02,42,20119,HOME BASE,1,,7.24E-07,0.198888278
Demo - Model 02,42,20119,MAIN DEPOT,,,1.11E-03,0.198888278
Demo - Model 02,42,20119,S_CARRIER,,,7.24E-08,0.019888828
Demo - Model 02,42,20119,S_CRUISER,,,7.24E-08,0.019888828
Demo - Model 02,42,20119,S_DESTROYER_01,,,1.45E-07,3.98E-02
Demo - Model 02,42,20119,S_DESTROYER_02,,,1.45E-07,3.98E-02
Demo - Model 02,42,20119,S_FRIGATE_01,,,7.24E-08,0.019888828
Demo - Model 02,42,20119,S_FRIGATE_02,,,7.24E-08,0.019888828
Demo - Model 02,42,20119,S_SUPPLY_SHIP_01,,,7.24E-08,0.019888828
Demo - Model 02,42,20119,S_SUPPLY_SHIP_02,,,7.24E-08,0.019888828
Demo - Model 02,42,201110,HOME BASE,,,5.84E-04,0.379113948
Demo - Model 02,42,201110,MAIN DEPOT,,,4.22E-04,0.284335461
Demo - Model 02,42,201110,S_CARRIER,,,5.84E-05,3.79E-02
Demo - Model 02,42,201110,S_CRUISER,,,5.84E-05,3.79E-02
Demo - Model 02,42,201110,S_DESTROYER_01,,,0.00011685,7.58E-02
Demo - Model 02,42,201110,S_DESTROYER_02,,,0.00011685,7.58E-02
Demo - Model 02,42,201110,S_FRIGATE_01,,,5.84E-05,3.79E-02
Demo - Model 02,42,201110,S_FRIGATE_02,,,5.84E-05,3.79E-02
Demo - Model 02,42,201110,S_SUPPLY_SHIP_01,,,5.84E-05,3.79E-02
Demo - Model 02,42,201110,S_SUPPLY_SHIP_02,,,5.84E-05,3.79E-02
Demo - Model 02,42,201111,HOME BASE,,,0.000194078,0.125935045
Demo - Model 02,42,201111,MAIN DEPOT,,,0.000140167,9.45E-02
Demo - Model 02,42,201111,S_CARRIER,,,1.94078E-05,0.012593504
Demo - Model 02,42,201111,S_CRUISER,,,1.94078E-05,0.012593504
Demo - Model 02,42,201111,S_DESTROYER_01,,,3.88E-05,0.025187009
Demo - Model 02,42,201111,S_DESTROYER_02,,,3.88E-05,0.025187009
Demo - Model 02,42,201111,S_FRIGATE_01,,,1.94078E-05,0.012593504
Demo - Model 02,42,201111,S_FRIGATE_02,,,1.94078E-05,0.012593504
Demo - Model 02,42,201111,S_SUPPLY_SHIP_01,,,1.94078E-05,0.012593504
Demo - Model 02,42,201111,S_SUPPLY_SHIP_02,,,1.94078E-05,0.012593504
Demo - Model 02,42,201112,HOME BASE,,,0.000122287,7.94E-02
Demo - Model 02,42,201112,MAIN DEPOT,,,8.83E-05,5.95E-02
Demo - Model 02,42,201112,S_CARRIER,,,1.22287E-05,7.94E-03
Demo - Model 02,42,201112,S_CRUISER,,,1.22287E-05,7.94E-03
Demo - Model 02,42,201112,S_DESTROYER_01,,,2.45E-05,0.015870137
Demo - Model 02,42,201112,S_DESTROYER_02,,,2.45E-05,0.015870137
Demo - Model 02,42,201112,S_FRIGATE_01,,,1.22287E-05,7.94E-03
Demo - Model 02,42,201112,S_FRIGATE_02,,,1.22287E-05,7.94E-03
Demo - Model 02,42,201112,S_SUPPLY_SHIP_01,,,1.22287E-05,7.94E-03
Demo - Model 02,42,201112,S_SUPPLY_SHIP_02,,,1.22287E-05,7.94E-03
Demo - Model 02,42,201113,HOME BASE,1,,2.82E-06,1.541269639
Demo - Model 02,42,201113,MAIN DEPOT,,,0.001715454,1.155952229
Demo - Model 02,42,201113,S_CARRIER,,,2.82E-07,0.154126964
Demo - Model 02,42,201113,S_CRUISER,,,2.82E-07,0.154126964
Demo - Model 02,42,201113,S_DESTROYER_01,,,5.64E-07,0.308253928
Demo - Model 02,42,201113,S_DESTROYER_02,,,5.64E-07,0.308253928
Demo - Model 02,42,201113,S_FRIGATE_01,,,2.82E-07,0.154126964
Demo - Model 02,42,201113,S_FRIGATE_02,,,2.82E-07,0.154126964
Demo - Model 02,42,201113,S_SUPPLY_SHIP_01,,,2.82E-07,0.154126964
Demo - Model 02,42,201113,S_SUPPLY_SHIP_02,,,2.82E-07,0.154126964
Demo - Model 02,42,201114,HOME BASE,1,,1.49E-07,0.354193536
Demo - Model 02,42,201114,MAIN DEPOT,,,3.94E-04,0.265645152
Demo - Model 02,42,201114,S_CARRIER,,,1.49E-08,3.54E-02
Demo - Model 02,42,201114,S_CRUISER,,,1.49E-08,3.54E-02
Demo - Model 02,42,201114,S_DESTROYER_01,,,2.98E-08,7.08E-02
Demo - Model 02,42,201114,S_DESTROYER_02,,,2.98E-08,7.08E-02
Demo - Model 02,42,201114,S_FRIGATE_01,,,1.49E-08,3.54E-02
Demo - Model 02,42,201114,S_FRIGATE_02,,,1.49E-08,3.54E-02
Demo - Model 02,42,201114,S_SUPPLY_SHIP_01,,,1.49E-08,3.54E-02
Demo - Model 02,42,201114,S_SUPPLY_SHIP_02,,,1.49E-08,3.54E-02
Demo - Model 02,42,201115,HOME BASE,,,5.46E-04,0.354413704
Demo - Model 02,42,201115,MAIN DEPOT,,,3.94E-04,0.265810278
Demo - Model 02,42,201115,S_CARRIER,1,,1.38E-07,1.86044137
Demo - Model 02,42,201115,S_CRUISER,1,,1.38E-07,1.86044137
Demo - Model 02,42,201115,S_DESTROYER_01,1,,5.52E-07,3.720882741
Demo - Model 02,42,201115,S_DESTROYER_02,1,,5.52E-07,3.720882741
Demo - Model 02,42,201115,S_FRIGATE_01,,,5.46E-05,3.54E-02
Demo - Model 02,42,201115,S_FRIGATE_02,,,5.46E-05,3.54E-02
Demo - Model 02,42,201115,S_SUPPLY_SHIP_01,1,,1.38E-07,1.86044137
Demo - Model 02,42,201115,S_SUPPLY_SHIP_02,1,,1.38E-07,1.86044137
Demo - Model 02,42,201116,WORKSHOP,,1,1.85E-05,0.162471673
Demo - Model 02,42,201116,HOME BASE,1,,4.83E-07,0.162471673
Demo - Model 02,42,201116,MAIN DEPOT,,,9.09E-04,0.162471673
